"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","UNIQUE_CARRIER","AIRLINE_ID","CARRIER","TAIL_NUM","FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME"
2017,1,1,5,4,"2017-01-05","AA",19805,"AA","N483AA",2458,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11298,1129804,30194,"DFW","Dallas/Fort Worth, TX","TX",48,"Texas",74,1850,1845,-5,0,0,-1,"1800-1859",41,1926,2139,2,2109,2141,32,32,1,2,"2100-2159",0,"",0,199,236,193,1,1067,5,0,0,32,0,0,NA,NA,NA
2017,1,1,5,4,"2017-01-05","WN",19393,"WN","N8657B",270,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,1900,1857,-3,0,0,-1,"1900-1959",31,1928,2124,7,2130,2131,1,1,0,0,"2100-2159",0,"",0,150,154,116,1,834,4,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,5,4,"2017-01-05","AA",19805,"AA","N803AA",1834,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11057,1105703,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,1905,1915,10,10,0,0,"1900-1959",58,2013,2121,15,2040,2136,56,56,1,3,"2000-2059",0,"",0,95,141,68,1,366,2,10,0,46,0,0,NA,NA,NA
2017,1,1,5,4,"2017-01-05","WN",19393,"WN","N7727A",606,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13232,1323202,30977,"MDW","Chicago, IL","IL",17,"Illinois",41,2140,2136,-4,0,0,-1,"2100-2159",29,2205,2212,15,2215,2227,12,12,0,0,"2200-2259",0,"",0,95,111,67,1,402,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,6,5,"2017-01-06","WN",19393,"WN","N8634A",1375,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,545,545,0,0,0,0,"0001-0559",35,620,842,6,835,848,13,13,0,0,"0800-0859",0,"",0,170,183,142,1,994,4,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,6,5,"2017-01-06","WN",19393,"WN","N7850B",1831,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,555,559,4,4,0,0,"0001-0559",53,652,849,8,825,857,32,32,1,2,"0800-0859",0,"",0,150,178,117,1,834,4,0,0,32,0,0,NA,NA,NA
2017,1,1,6,5,"2017-01-06","AA",19805,"AA","N808AA",727,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,12892,1289204,32575,"LAX","Los Angeles, CA","CA",6,"California",91,600,558,-2,0,0,-1,"0600-0659",46,644,856,24,844,920,36,36,1,2,"0800-0859",0,"",0,344,382,312,1,2136,9,0,0,36,0,0,NA,NA,NA
2017,1,1,6,5,"2017-01-06","AA",19805,"AA","N740AA",1756,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,11057,1105703,31057,"CLT","Charlotte, NC","NC",37,"North Carolina",36,700,659,-1,0,0,-1,"0700-0759",25,724,834,7,842,841,-1,0,0,-1,"0800-0859",0,"",0,102,102,70,1,366,2,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,8,7,"2017-01-08","AA",19805,"AA","N751AA",1821,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,14107,1410702,30466,"PHX","Phoenix, AZ","AZ",4,"Arizona",81,700,702,2,2,0,0,"0700-0759",34,736,1000,16,1004,1016,12,12,0,0,"1000-1059",0,"",0,304,314,264,1,1814,8,NA,NA,NA,NA,NA,NA,NA,NA
2017,1,1,8,7,"2017-01-08","WN",19393,"WN","N8502Z",4495,14122,1412202,30198,"PIT","Pittsburgh, PA","PA",42,"Pennsylvania",23,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,710,709,-1,0,0,-1,"0700-0759",33,742,932,8,940,940,0,0,0,0,"0900-0959",0,"",0,150,151,110,1,834,4,NA,NA,NA,NA,NA,NA,NA,NA
